8.431626458962758752e-01,,1.47E-02
8.624674479166666297e-01,,1.41E-02
8.655103594064712524e-01,,1.21E-02
8.741578906774520874e-01,,1.43E-02
8.809938281774520874e-01,,1.32E-02
8.818359375000000000e-01,,1.33E-02
8.792388488849004480e-01,,1.73E-02
8.835696876049041748e-01,,1.60E-02
8.800738801558812829e-01,,1.48E-02
8.792883853117624549e-01,,1.15E-02
8.805267761150995520e-01,,1.75E-02
8.772503385941187171e-01,,1.18E-02
8.849142342805862427e-01,,1.52E-02
8.841216613849004480e-01,,1.87E-02
8.825011303027471277e-01,,1.44E-02
8.827558855215708045e-01,,1.32E-02
8.901933332284291955e-01,,1.16E-02
8.880845208962758752e-01,,1.33E-02
8.833786249160766602e-01,,1.69E-02
8.780853698650995520e-01,,1.18E-02
8.852822134892145423e-01,,1.32E-02
8.906886875629425049e-01,,1.48E-02
8.842419634262720374e-01,,1.71E-02
8.826497395833333703e-01,,1.21E-02
8.828761875629425049e-01,,8.05E-03
8.800668021043142053e-01,,1.53E-02
8.851123750209808350e-01,,1.76E-02
8.886718750000000000e-01,,1.16E-02
8.869381248950958252e-01,,1.40E-02
8.871433436870574951e-01,,1.21E-02
8.862870832284291955e-01,,1.39E-02
8.889337082703908655e-01,,1.27E-02
8.879996041456857947e-01,,1.55E-02
8.739809791247049597e-01,,1.34E-02
8.902640988429387781e-01,,1.17E-02
8.884949634472528723e-01,,1.70E-02
8.825860520203908655e-01,,1.58E-02
8.860323280096054077e-01,,1.42E-02
8.748160103956857947e-01,,1.70E-02
8.824020624160766602e-01,,1.79E-02
8.852751354376474646e-01,,1.17E-02
8.739880571762720374e-01,,1.43E-02
8.814042707284291955e-01,,8.39E-03
8.850345313549041748e-01,,1.76E-02
8.789274791876474646e-01,,1.43E-02
8.838527500629425049e-01,,1.23E-02
8.799748073021570471e-01,,1.17E-02
8.812061250209808350e-01,,1.53E-02
8.890823125839233398e-01,,1.79E-02
8.899598071972528723e-01,,1.62E-02